objectId,period[d],period_up_err,period_low_err, number, mean samp, median samp
36,46.035216940959764,45.896667084186134,45.96898471248646,126,53686.36174603175,53982.465
43,298.73039581777425,25.78815560725178,0.1003236440341766,129,53688.53217054264,53989.47
45,401.6064257028111,37.30115674893045,10.096441910295596,119,53666.09420168066,53700.38
47,218.6987424822305,12.317749195873006,4.830371352700411,127,53692.02141732282,53989.47
51,224.7191011235953,5.500168853375186,4.16329331640236,110,53685.34463636363,53837.92
78,0.0,0.0,0.0,108,53711.73009259259,53995.47
83,212.99254526091565,13.481332096487165,9.602547953637782,101,53599.92524752475,53681.43
116,231.0803004043903,20.30422622291698,9.460565678391134,118,53679.67728813559,53995.47
149,298.73039581777425,27.91910774010387,23.966523484596678,114,53746.59377192982,54009.95
156,224.7191011235953,16.572641177091214,6.288674233545919,110,53648.12818181817,53696.884999999995
204,0.0,0.0,0.0,130,53664.328461538455,53837.425
217,298.73039581777425,23.741011652221687,4.655081430235498,123,53717.45536585365,53996.46
221,401.6064257028111,26.539817085552443,3.17911948114687,128,53675.770937500005,53991.965
232,99.15716410510646,4.494761613446357,25.05756328849857,123,53659.601382113826,53975.45
234,0.0,0.0,0.0,116,53706.24267241379,54002.455
248,335.57046979865754,14.22785491464731,4.605630349582441,120,53681.140499999994,53991.965
260,278.35768963117584,27.144128582608516,4.608527684261844,131,53688.86664122138,53975.45
261,401.6064257028111,26.709664264401056,6.210292497452542,114,53647.3798245614,53680.899999999994
269,252.5252525252523,11.277044664070786,4.024673517998906,119,53683.975966386555,53996.46
290,28.411108743518664,18.056399108664536,0.7286318643506284,106,53592.556226415094,53688.384999999995
303,0.0,0.0,0.0,125,53695.27312,53996.46
335,77.50435962022851,11.184705684280743,1.4077594188622555,106,53667.32047169811,53991.965
341,278.35768963117584,25.945730450217866,16.262824195643475,107,53733.02252336449,54010.41
355,172.4881414402758,6.1767437314199185,3.63000424372413,122,53722.80229508197,53984.96
393,22.468123349997153,22.46688576062314,22.45681376073771,109,53609.182293577986,53680.38
413,25.806451612903185,25.46483625410973,25.618512271814268,137,53695.34788321168,53994.47
424,28.71088142405967,28.68738657042937,28.659159818510094,113,53721.53548672566,53989.46
458,212.99254526091565,14.877624108205652,5.450336687490875,111,53710.83117117117,54000.43
499,224.7191011235953,20.92107237930304,5.225833597283383,131,53699.84564885496,53994.47
511,0.0,0.0,0.0,130,53723.70253846154,54008.44
524,310.0775193798448,14.802331913751573,6.992771123895068,140,53710.52614285714,53995.46
570,401.6064257028111,4298.029616872352,6.617017160034777,112,53729.79633928571,53992.95
623,401.6064257028111,23.730109768833245,4.858914988892764,133,53688.015037593985,53989.45
628,224.7191011235953,9.52356793879585,8.630242116063044,142,53712.42169014084,53995.455
637,278.35768963117584,11.792543513523015,4.047124906663441,116,53700.382327586194,53839.895000000004
663,278.35768963117584,25.702023137618596,4.015176959715916,124,53675.461048387086,53698.380000000005
678,47.64740917212619,41.3708131091318,46.33878407339712,141,53691.9739716312,53989.45
747,218.6987424822305,27.293543654900674,8.448287125908877,142,53693.96176056338,53991.955
750,0.0,0.0,0.0,124,53710.55854838709,53995.45
782,218.6987424822305,18.371880930904695,7.483698385411543,132,53697.90553030303,53995.45
810,168.91891891891873,8.082693731512506,5.416041574704678,141,53699.50226950355,53997.47
815,207.57654385054468,9.89471810984648,7.627462611657364,143,53701.75958041959,53996.44
847,298.73039581777425,23.228679241236023,5.168128675839739,118,53688.38796610169,53996.955
856,401.6064257028111,64.15197149213094,1.702778582520864,124,53735.10427419354,54007.935
874,244.94794856093057,16.76971302000635,3.4923223011478512,137,53718.52635036497,53997.47
875,218.6987424822305,14.708956100803078,3.143537095377326,133,53701.9267669173,53989.44
912,401.6064257028111,43.34021120496516,6.245310864146973,143,53706.944475524484,54000.42
914,244.94794856093057,71.49309527052776,12.423149334819982,142,53699.49112676057,53996.955
934,0.0,0.0,0.0,114,53588.02070175438,53682.415
937,237.81212841854912,24.813221332463428,6.7134189862345295,119,53730.69411764706,54009.47
950,0.0,0.0,0.0,137,53721.34080291971,54000.42
955,322.32070910555984,25.919094309368234,5.965254433531072,137,53688.11430656935,53996.44
965,252.5252525252523,13.739004672831186,3.5363542029056703,123,53651.55308943089,53697.36
991,212.99254526091565,13.789642235690536,2.6094723242650844,130,53657.275076923084,53837.405
1003,231.0803004043903,85.41132860444586,7.480275168046575,129,53702.54488372093,54000.42
1006,298.73039581777425,101.50239907173301,6.4994265349318425,142,53691.7064084507,53995.445
1021,288.1844380403456,27.074713473091776,9.06136225904703,141,53696.125886524824,53994.45
1081,298.73039581777425,34.623433563831384,20.266937735590773,145,53681.075999999994,53699.38
1092,0.0,0.0,0.0,137,53682.020437956206,53699.38
1133,401.6064257028111,15.38106843424191,6.730249041960747,119,53739.45865546219,54000.41
1146,218.6987424822305,14.54592756297123,4.7086887759259355,139,53724.09597122302,54007.46
1148,310.0775193798448,22.284711125700824,4.0946560530209695,110,53714.266272727284,53991.945
